Key,Source,Line,EventType,Occurrence,OwnerTask,Target
ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs#StartBattleRequested#1,ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs,26,StartBattleRequested,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs#TopCardRemovedForMillEvent#1,ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs,33,TopCardRemovedForMillEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs#TrackingEvent#1,ECS/Scenes/BattleScene/BattleStateInfoManagementSystem.cs,28,TrackingEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BleedManagementSystem.cs#ConfirmBlocksRequested#1,ECS/Scenes/BattleScene/BleedManagementSystem.cs,21,ConfirmBlocksRequested,1,ECS-043,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BloodshotDisplaySystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/BloodshotDisplaySystem.cs,265,ChangeBattlePhaseEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BloodshotDisplaySystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/BloodshotDisplaySystem.cs,266,DeleteCachesEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BrittleDisplaySystem.cs#CardShaderPassEvent#1,ECS/Scenes/BattleScene/BrittleDisplaySystem.cs,57,CardShaderPassEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BrittleDisplaySystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/BrittleDisplaySystem.cs,58,DeleteCachesEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/BrittleManagementSystem.cs#CardBlockedEvent#1,ECS/Scenes/BattleScene/BrittleManagementSystem.cs,16,CardBlockedEvent,1,ECS-043,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CanPlayCardHighlightSystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/CanPlayCardHighlightSystem.cs,41,DeleteCachesEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CanPlayCardHighlightSystem.cs#HighlightRenderEvent#1,ECS/Scenes/BattleScene/CanPlayCardHighlightSystem.cs,42,HighlightRenderEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CantPlayCardMessageSystem.cs#CantPlayCardMessage#1,ECS/Scenes/BattleScene/CantPlayCardMessageSystem.cs,87,CantPlayCardMessage,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardApplicationManagementSystem.cs#ApplyCardApplicationEvent#1,ECS/Scenes/BattleScene/CardApplicationManagementSystem.cs,17,ApplyCardApplicationEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardApplicationManagementSystem.cs#RemoveCardApplication#1,ECS/Scenes/BattleScene/CardApplicationManagementSystem.cs,18,RemoveCardApplication,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardApplicationManagementSystem.cs#RemoveCardApplications#1,ECS/Scenes/BattleScene/CardApplicationManagementSystem.cs,19,RemoveCardApplications,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardMoveDisplaySystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/CardMoveDisplaySystem.cs,91,DeleteCachesEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardMoveDisplaySystem.cs#PlayCardToDiscardAnimationRequested#1,ECS/Scenes/BattleScene/CardMoveDisplaySystem.cs,89,PlayCardToDiscardAnimationRequested,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardMoveDisplaySystem.cs#PlayCardToDrawPileAnimationRequested#1,ECS/Scenes/BattleScene/CardMoveDisplaySystem.cs,90,PlayCardToDrawPileAnimationRequested,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardPlaySystem.cs#PayCostSatisfied#1,ECS/Scenes/BattleScene/CardPlaySystem.cs,24,PayCostSatisfied,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardPlaySystem.cs#PlayCardRequested#1,ECS/Scenes/BattleScene/CardPlaySystem.cs,23,PlayCardRequested,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardPlayedAnimationSystem.cs#CardMoveRequested#1,ECS/Scenes/BattleScene/CardPlayedAnimationSystem.cs,77,CardMoveRequested,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardZoneSystem.cs#BeginDefeatPresentationEvent#1,ECS/Scenes/BattleScene/CardZoneSystem.cs,24,BeginDefeatPresentationEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardZoneSystem.cs#CardMoveFinalizeRequested#1,ECS/Scenes/BattleScene/CardZoneSystem.cs,23,CardMoveFinalizeRequested,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardZoneSystem.cs#CardMoveRequested#1,ECS/Scenes/BattleScene/CardZoneSystem.cs,20,CardMoveRequested,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardZoneSystem.cs#CardMoved#1,ECS/Scenes/BattleScene/CardZoneSystem.cs,21,CardMoved,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardZoneSystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/CardZoneSystem.cs,22,ChangeBattlePhaseEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CardZoneSystem.cs#ReserveAssignedBlockReturnRequested#1,ECS/Scenes/BattleScene/CardZoneSystem.cs,25,ReserveAssignedBlockReturnRequested,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CourageDisplaySystem.cs#ModifyCourageEvent#1,ECS/Scenes/BattleScene/CourageDisplaySystem.cs,57,ModifyCourageEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CourageManagerSystem.cs#ApplyEffect#1,ECS/Scenes/BattleScene/CourageManagerSystem.cs,20,ApplyEffect,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CourageManagerSystem.cs#CardMoved#1,ECS/Scenes/BattleScene/CourageManagerSystem.cs,21,CardMoved,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CourageManagerSystem.cs#ModifyCourageRequestEvent#1,ECS/Scenes/BattleScene/CourageManagerSystem.cs,18,ModifyCourageRequestEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CourageManagerSystem.cs#SetCourageEvent#1,ECS/Scenes/BattleScene/CourageManagerSystem.cs,19,SetCourageEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CursedDisplaySystem.cs#CardShaderPassEvent#1,ECS/Scenes/BattleScene/CursedDisplaySystem.cs,83,CardShaderPassEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CursedManagementSystem.cs#ApplyCardApplicationEvent#1,ECS/Scenes/BattleScene/CursedManagementSystem.cs,19,ApplyCardApplicationEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CursedManagementSystem.cs#LoadSceneEvent#1,ECS/Scenes/BattleScene/CursedManagementSystem.cs,23,LoadSceneEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CursedManagementSystem.cs#RemoveCardApplication#1,ECS/Scenes/BattleScene/CursedManagementSystem.cs,20,RemoveCardApplication,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CursedManagementSystem.cs#RemoveCardApplications#1,ECS/Scenes/BattleScene/CursedManagementSystem.cs,21,RemoveCardApplications,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/CursedManagementSystem.cs#StartBattleRequested#1,ECS/Scenes/BattleScene/CursedManagementSystem.cs,22,StartBattleRequested,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DamageModificationDisplaySystem.cs#HealEvent#1,ECS/Scenes/BattleScene/DamageModificationDisplaySystem.cs,99,HealEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DamageModificationDisplaySystem.cs#ModifyHpEvent#1,ECS/Scenes/BattleScene/DamageModificationDisplaySystem.cs,98,ModifyHpEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckEmptyDeathCheckSystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/DeckEmptyDeathCheckSystem.cs,21,DeleteCachesEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckEmptyDeathCheckSystem.cs#PlayerDied#1,ECS/Scenes/BattleScene/DeckEmptyDeathCheckSystem.cs,19,PlayerDied,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckEmptyDeathCheckSystem.cs#StartBattleRequested#1,ECS/Scenes/BattleScene/DeckEmptyDeathCheckSystem.cs,20,StartBattleRequested,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckEmptyDeathCheckSystem.cs#StartOfTurnDrawResolvedEvent#1,ECS/Scenes/BattleScene/DeckEmptyDeathCheckSystem.cs,18,StartOfTurnDrawResolvedEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckManagementSystem.cs#DeckShuffleDrawEvent#1,ECS/Scenes/BattleScene/DeckManagementSystem.cs,23,DeckShuffleDrawEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckManagementSystem.cs#DeckShuffleEvent#1,ECS/Scenes/BattleScene/DeckManagementSystem.cs,26,DeckShuffleEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckManagementSystem.cs#DiscardAllCardsEvent#1,ECS/Scenes/BattleScene/DeckManagementSystem.cs,29,DiscardAllCardsEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckManagementSystem.cs#DrawRandomCardFromDiscardEvent#1,ECS/Scenes/BattleScene/DeckManagementSystem.cs,32,DrawRandomCardFromDiscardEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckManagementSystem.cs#LoadSceneEvent#1,ECS/Scenes/BattleScene/DeckManagementSystem.cs,30,LoadSceneEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckManagementSystem.cs#RedrawHandEvent#1,ECS/Scenes/BattleScene/DeckManagementSystem.cs,25,RedrawHandEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckManagementSystem.cs#RemoveRandomCardEvent#1,ECS/Scenes/BattleScene/DeckManagementSystem.cs,31,RemoveRandomCardEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckManagementSystem.cs#RemoveTopCardFromDrawPileRequested#1,ECS/Scenes/BattleScene/DeckManagementSystem.cs,28,RemoveTopCardFromDrawPileRequested,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckManagementSystem.cs#RequestDrawCardsEvent#1,ECS/Scenes/BattleScene/DeckManagementSystem.cs,24,RequestDrawCardsEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckManagementSystem.cs#ResetDeckEvent#1,ECS/Scenes/BattleScene/DeckManagementSystem.cs,27,ResetDeckEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DeckManagementSystem.cs#ShuffleRandomCardsFromDiscardToDrawPileEvent#1,ECS/Scenes/BattleScene/DeckManagementSystem.cs,33,ShuffleRandomCardsFromDiscardToDrawPileEvent,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DialogDisplaySystem.cs#DialogEnded#1,ECS/Scenes/BattleScene/DialogDisplaySystem.cs,335,DialogEnded,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DialogDisplaySystem.cs#DialogSkipRequested#1,ECS/Scenes/BattleScene/DialogDisplaySystem.cs,334,DialogSkipRequested,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DialogDisplaySystem.cs#DialogueSequenceRequested#1,ECS/Scenes/BattleScene/DialogDisplaySystem.cs,333,DialogueSequenceRequested,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DialogDisplaySystem.cs#QuestSelected#1,ECS/Scenes/BattleScene/DialogDisplaySystem.cs,331,QuestSelected,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DialogDisplaySystem.cs#TransitionCompleteEvent#1,ECS/Scenes/BattleScene/DialogDisplaySystem.cs,332,TransitionCompleteEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DiscardPileDisplaySystem.cs#CardMoved#1,ECS/Scenes/BattleScene/DiscardPileDisplaySystem.cs,52,CardMoved,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/DrawPileDisplaySystem.cs#CardsDrawnEvent#1,ECS/Scenes/BattleScene/DrawPileDisplaySystem.cs,51,CardsDrawnEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs,57,ChangeBattlePhaseEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs#ClosePayCostOverlayEvent#1,ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs,59,ClosePayCostOverlayEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs#EndTurnDisplayEvent#1,ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs,64,EndTurnDisplayEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs#EndTurnRequested#1,ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs,52,EndTurnRequested,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs#LoadSceneEvent#1,ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs,62,LoadSceneEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs#OpenPayCostOverlayEvent#1,ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs,58,OpenPayCostOverlayEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs#PayCostCancelRequested#1,ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs,60,PayCostCancelRequested,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs#PayCostSatisfied#1,ECS/Scenes/BattleScene/EndTurnDisplaySystem.cs,61,PayCostSatisfied,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyAttackDisplaySystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/EnemyAttackDisplaySystem.cs,297,ChangeBattlePhaseEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyAttackDisplaySystem.cs#ConfirmBlocksRequested#1,ECS/Scenes/BattleScene/EnemyAttackDisplaySystem.cs,282,ConfirmBlocksRequested,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyAttackDisplaySystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/EnemyAttackDisplaySystem.cs,287,DeleteCachesEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyAttackDisplaySystem.cs#TriggerEnemyAttackDisplayEvent#1,ECS/Scenes/BattleScene/EnemyAttackDisplaySystem.cs,310,TriggerEnemyAttackDisplayEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyAttackProgressManagementSystem.cs#ApplyPassiveEvent#1,ECS/Scenes/BattleScene/EnemyAttackProgressManagementSystem.cs,25,ApplyPassiveEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyAttackProgressManagementSystem.cs#BlockAssignmentAdded#1,ECS/Scenes/BattleScene/EnemyAttackProgressManagementSystem.cs,23,BlockAssignmentAdded,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyAttackProgressManagementSystem.cs#BlockAssignmentRemoved#1,ECS/Scenes/BattleScene/EnemyAttackProgressManagementSystem.cs,24,BlockAssignmentRemoved,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyAttackProgressManagementSystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/EnemyAttackProgressManagementSystem.cs,28,ChangeBattlePhaseEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyAttackProgressManagementSystem.cs#LoadSceneEvent#1,ECS/Scenes/BattleScene/EnemyAttackProgressManagementSystem.cs,29,LoadSceneEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyAttackProgressManagementSystem.cs#RemovePassive#1,ECS/Scenes/BattleScene/EnemyAttackProgressManagementSystem.cs,26,RemovePassive,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyAttackProgressManagementSystem.cs#UpdatePassive#1,ECS/Scenes/BattleScene/EnemyAttackProgressManagementSystem.cs,27,UpdatePassive,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyDamageManagerSystem.cs#ApplyEffect#1,ECS/Scenes/BattleScene/EnemyDamageManagerSystem.cs,20,ApplyEffect,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyDamageManagerSystem.cs#EnemyAttackImpactNow#1,ECS/Scenes/BattleScene/EnemyDamageManagerSystem.cs,21,EnemyAttackImpactNow,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyDamageMeterDisplaySystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/EnemyDamageMeterDisplaySystem.cs,154,ChangeBattlePhaseEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyDefeatFlowSystem.cs#BeginDefeatPresentationEvent#1,ECS/Scenes/BattleScene/EnemyDefeatFlowSystem.cs,49,BeginDefeatPresentationEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyDefeatFlowSystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/EnemyDefeatFlowSystem.cs,52,DeleteCachesEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyDefeatFlowSystem.cs#DialogueSequenceCompleted#1,ECS/Scenes/BattleScene/EnemyDefeatFlowSystem.cs,54,DialogueSequenceCompleted,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyDefeatFlowSystem.cs#PixelBurstAnimationCompleted#1,ECS/Scenes/BattleScene/EnemyDefeatFlowSystem.cs,50,PixelBurstAnimationCompleted,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyDefeatFlowSystem.cs#StartBattleRequested#1,ECS/Scenes/BattleScene/EnemyDefeatFlowSystem.cs,53,StartBattleRequested,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyDefeatFlowSystem.cs#VictoryAnimationCompleteEvent#1,ECS/Scenes/BattleScene/EnemyDefeatFlowSystem.cs,51,VictoryAnimationCompleteEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyIntentPipsSystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/EnemyIntentPipsSystem.cs,40,DeleteCachesEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyIntentPlanningSystem.cs#ApplyPassiveEvent#1,ECS/Scenes/BattleScene/EnemyIntentPlanningSystem.cs,27,ApplyPassiveEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyIntentPlanningSystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/EnemyIntentPlanningSystem.cs,26,ChangeBattlePhaseEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyPhaseFlowSystem.cs#BattlePresentationCompleted#1,ECS/Scenes/BattleScene/EnemyPhaseFlowSystem.cs,36,BattlePresentationCompleted,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyPhaseFlowSystem.cs#BattlePresentationStarted#1,ECS/Scenes/BattleScene/EnemyPhaseFlowSystem.cs,35,BattlePresentationStarted,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyPhaseFlowSystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/EnemyPhaseFlowSystem.cs,37,DeleteCachesEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyPhaseFlowSystem.cs#DialogueSequenceCompleted#1,ECS/Scenes/BattleScene/EnemyPhaseFlowSystem.cs,33,DialogueSequenceCompleted,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyPhaseFlowSystem.cs#EnemyPhaseLethalEvent#1,ECS/Scenes/BattleScene/EnemyPhaseFlowSystem.cs,32,EnemyPhaseLethalEvent,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyPhaseFlowSystem.cs#StartBattleRequested#1,ECS/Scenes/BattleScene/EnemyPhaseFlowSystem.cs,38,StartBattleRequested,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EnemyPhaseFlowSystem.cs#VisualEffectCompleted#1,ECS/Scenes/BattleScene/EnemyPhaseFlowSystem.cs,34,VisualEffectCompleted,1,ECS-042,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EquipmentDisplaySystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/EquipmentDisplaySystem.cs,131,DeleteCachesEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EquipmentDisplaySystem.cs#EquipmentAbilityTriggered#1,ECS/Scenes/BattleScene/EquipmentDisplaySystem.cs,130,EquipmentAbilityTriggered,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EquipmentManagerSystem.cs#EnemyKilledEvent#1,ECS/Scenes/BattleScene/EquipmentManagerSystem.cs,17,EnemyKilledEvent,1,ECS-043,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EquipmentManagerSystem.cs#EquipmentActivateEvent#1,ECS/Scenes/BattleScene/EquipmentManagerSystem.cs,16,EquipmentActivateEvent,1,ECS-043,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EquipmentTooltipDisplaySystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/EquipmentTooltipDisplaySystem.cs,151,DeleteCachesEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/EquippedWeaponDisplaySystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/EquippedWeaponDisplaySystem.cs,53,ChangeBattlePhaseEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/FrozenCardDisplaySystem.cs#CardRenderEvent#1,ECS/Scenes/BattleScene/FrozenCardDisplaySystem.cs,47,CardRenderEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/FrozenCardDisplaySystem.cs#CardRenderScaledEvent#1,ECS/Scenes/BattleScene/FrozenCardDisplaySystem.cs,49,CardRenderScaledEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/FrozenCardDisplaySystem.cs#CardRenderScaledRotatedEvent#1,ECS/Scenes/BattleScene/FrozenCardDisplaySystem.cs,56,CardRenderScaledRotatedEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/FrozenDisplaySystem.cs#CardShaderPassEvent#1,ECS/Scenes/BattleScene/FrozenDisplaySystem.cs,197,CardShaderPassEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/GameOverOverlayDisplaySystem.cs#DeleteCachesEvent#1,ECS/Scenes/BattleScene/GameOverOverlayDisplaySystem.cs,54,DeleteCachesEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/GameOverOverlayDisplaySystem.cs#PlayerDied#1,ECS/Scenes/BattleScene/GameOverOverlayDisplaySystem.cs,52,PlayerDied,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/GameOverOverlayDisplaySystem.cs#RunEndSequenceRequested#1,ECS/Scenes/BattleScene/GameOverOverlayDisplaySystem.cs,53,RunEndSequenceRequested,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/GuardianAngelDisplaySystem.cs#CardPlayedEvent#1,ECS/Scenes/BattleScene/GuardianAngelDisplaySystem.cs,194,CardPlayedEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/GuardianAngelDisplaySystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/GuardianAngelDisplaySystem.cs,192,ChangeBattlePhaseEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/GuardianAngelDisplaySystem.cs#LoadSceneEvent#1,ECS/Scenes/BattleScene/GuardianAngelDisplaySystem.cs,196,LoadSceneEvent,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/GuardianAngelDisplaySystem.cs#MedalTriggered#1,ECS/Scenes/BattleScene/GuardianAngelDisplaySystem.cs,195,MedalTriggered,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/GuardianAngelDisplaySystem.cs#TriggerTemperance#1,ECS/Scenes/BattleScene/GuardianAngelDisplaySystem.cs,193,TriggerTemperance,1,ECS-045,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/GuidedTutorialDirectorSystem.cs#ChangeBattlePhaseEvent#1,ECS/Scenes/BattleScene/GuidedTutorialDirectorSystem.cs,19,ChangeBattlePhaseEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/GuidedTutorialDirectorSystem.cs#GuidedTutorialRestartRequested#1,ECS/Scenes/BattleScene/GuidedTutorialDirectorSystem.cs,20,GuidedTutorialRestartRequested,1,ECS-044,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/GuidedTutorialDirectorSystem.cs#GuidedTutorialSkipRequested#1,ECS/Scenes/BattleScene/GuidedTutorialDirectorSystem.cs,21,GuidedTutorialSkipRequested,1,ECS-044,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/GuidedTutorialDirectorSystem.cs#LoadSceneEvent#1,ECS/Scenes/BattleScene/GuidedTutorialDirectorSystem.cs,22,LoadSceneEvent,1,ECS-044,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/HandBlockInteractionSystem.cs#AssignCardAsBlockRequested#1,ECS/Scenes/BattleScene/HandBlockInteractionSystem.cs,18,AssignCardAsBlockRequested,1,ECS-041,World-owned typed event stream or generated route
ECS/Scenes/BattleScene/HpManagementSystem.cs#ApplyBattleMaxHpEvent#1,ECS/Scenes/BattleScene/HpManagementSystem.cs,24,ApplyBattleMaxHpEvent,1,ECS-042,World-owned typed event stream or generated route
